longitude,latitude,worldcover_code,worldcover_clase
-85.43499999999973,9.502000000000097,80,Permanent water bodies
-85.42599999999973,9.502000000000097,80,Permanent water bodies
-85.41699999999973,9.502000000000097,80,Permanent water bodies
-85.40799999999973,9.502000000000097,80,Permanent water bodies
-85.39899999999973,9.502000000000097,80,Permanent water bodies
-85.38999999999973,9.502000000000097,80,Permanent water bodies
-85.38099999999973,9.502000000000097,80,Permanent water bodies
-85.37199999999973,9.502000000000097,80,Permanent water bodies
-85.36299999999973,9.502000000000097,80,Permanent water bodies
-85.35399999999973,9.502000000000097,80,Permanent water bodies
-85.34499999999973,9.502000000000097,80,Permanent water bodies
-85.33599999999973,9.502000000000097,80,Permanent water bodies
-85.32699999999973,9.502000000000097,80,Permanent water bodies
-85.31799999999973,9.502000000000097,80,Permanent water bodies
-85.30899999999973,9.502000000000097,80,Permanent water bodies
-85.29999999999973,9.502000000000097,80,Permanent water bodies
-85.29099999999973,9.502000000000097,80,Permanent water bodies
-85.28199999999973,9.502000000000097,80,Permanent water bodies
-85.27299999999973,9.502000000000097,80,Permanent water bodies
-85.26399999999973,9.502000000000097,80,Permanent water bodies
-85.25499999999973,9.502000000000097,80,Permanent water bodies
-85.24599999999973,9.502000000000097,80,Permanent water bodies
-85.23699999999972,9.502000000000097,80,Permanent water bodies
-85.22799999999972,9.502000000000097,80,Permanent water bodies
-85.21899999999972,9.502000000000097,80,Permanent water bodies
-85.20999999999972,9.502000000000097,80,Permanent water bodies
-85.20099999999972,9.502000000000097,80,Permanent water bodies
-85.19199999999972,9.502000000000097,80,Permanent water bodies
-85.18299999999972,9.502000000000097,80,Permanent water bodies
-85.17399999999972,9.502000000000097,80,Permanent water bodies
-85.16499999999972,9.502000000000097,80,Permanent water bodies
-85.15599999999972,9.502000000000097,80,Permanent water bodies
-85.14699999999972,9.502000000000097,80,Permanent water bodies
-85.13799999999972,9.502000000000097,80,Permanent water bodies
-85.12899999999972,9.502000000000097,80,Permanent water bodies
-85.11999999999972,9.502000000000097,80,Permanent water bodies
-85.11099999999972,9.502000000000097,80,Permanent water bodies
-85.10199999999972,9.502000000000097,80,Permanent water bodies
-85.09299999999972,9.502000000000097,80,Permanent water bodies
-85.08399999999972,9.502000000000097,80,Permanent water bodies
-85.07499999999972,9.502000000000097,80,Permanent water bodies
-85.06599999999972,9.502000000000097,80,Permanent water bodies
-85.05699999999972,9.502000000000097,80,Permanent water bodies
-85.04799999999972,9.502000000000097,80,Permanent water bodies
-85.03899999999972,9.502000000000097,80,Permanent water bodies
-85.02999999999972,9.502000000000097,80,Permanent water bodies
-85.02099999999972,9.502000000000097,80,Permanent water bodies
-85.01199999999972,9.502000000000097,80,Permanent water bodies
-85.00299999999972,9.502000000000097,80,Permanent water bodies
-84.99399999999972,9.502000000000097,80,Permanent water bodies
-84.98499999999972,9.502000000000097,80,Permanent water bodies
-84.97599999999971,9.502000000000097,80,Permanent water bodies
-84.96699999999971,9.502000000000097,80,Permanent water bodies
-84.95799999999971,9.502000000000097,80,Permanent water bodies
-84.94899999999971,9.502000000000097,80,Permanent water bodies
-84.93999999999971,9.502000000000097,80,Permanent water bodies
-84.93099999999971,9.502000000000097,80,Permanent water bodies
-84.92199999999971,9.502000000000097,80,Permanent water bodies
-84.91299999999971,9.502000000000097,80,Permanent water bodies
-84.90399999999971,9.502000000000097,80,Permanent water bodies
-84.89499999999971,9.502000000000097,80,Permanent water bodies
-84.88599999999971,9.502000000000097,80,Permanent water bodies
-84.87699999999971,9.502000000000097,80,Permanent water bodies
-84.86799999999971,9.502000000000097,80,Permanent water bodies
-84.85899999999971,9.502000000000097,80,Permanent water bodies
-84.84999999999971,9.502000000000097,80,Permanent water bodies
-84.84099999999971,9.502000000000097,80,Permanent water bodies
-84.83199999999971,9.502000000000097,80,Permanent water bodies
-84.82299999999971,9.502000000000097,80,Permanent water bodies
-84.81399999999971,9.502000000000097,80,Permanent water bodies
-84.80499999999971,9.502000000000097,80,Permanent water bodies
-84.79599999999971,9.502000000000097,80,Permanent water bodies
-84.78699999999971,9.502000000000097,80,Permanent water bodies
-84.77799999999971,9.502000000000097,80,Permanent water bodies
-84.7689999999997,9.502000000000097,80,Permanent water bodies
-84.7599999999997,9.502000000000097,80,Permanent water bodies
-84.7509999999997,9.502000000000097,80,Permanent water bodies
-84.7419999999997,9.502000000000097,80,Permanent water bodies
